"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"212437_at",-239.223829132369,569.902047189636,-9.93385377552828,1.34017197000291e-15,1.95215824692575e-11,-2.27585456168944,"CENPB"
"217812_at",-1492.38345680412,3894.70325453208,-9.84936974320487,1.95773779965476e-15,1.95215824692575e-11,-2.2945354919548,"YTHDF2"
"207688_s_at",-308.328085668179,700.576866486557,-9.6738232332755,4.3079861966126e-15,2.86380562396817e-11,-2.33394006931002,"INHBC"
"212440_at",-684.704966210169,2045.17891460037,-9.60140360760993,5.96708961622684e-15,2.9750417054103e-11,-2.35042824298174,"SNRNP27"
"202623_at",-827.062480659704,2623.74361331306,-9.47220571134516,1.06762918960491e-14,4.25834578565816e-11,-2.38018164084072,"EAPP"
"222554_s_at",189.278791048369,315.624704875549,9.21547213957556,3.39826114888115e-14,1.12952536820228e-10,-2.44059611746396,"NOL6"
"234344_at",-390.123710345821,514.663612674135,-9.17970786468119,3.99366176710497e-14,1.13779423744821e-10,-2.44914865151614,NA
"223098_s_at",536.270391310303,1475.65321233727,9.14850208501724,4.59790614168892e-14,1.14620052729628e-10,-2.45663836836219,"LONP2"
"219350_s_at",-422.827295806638,1800.0656229308,-9.10697431132563,5.54629898484851e-14,1.15760763838425e-10,-2.46664490530781,"DIABLO"
"1552976_at",-208.83602095483,372.529657965066,-9.06159704450007,6.80790757778709e-14,1.15760763838425e-10,-2.4776304919866,"DNAJB13"
"209111_at",-716.671867859936,1732.36247732462,-9.04213649675582,7.43347547504207e-14,1.15760763838425e-10,-2.48235825013311,NA
"224914_s_at",-760.169143137968,2049.90867067017,-9.03106896369399,7.81458298444932e-14,1.15760763838425e-10,-2.48505141218889,"SARNP"
"226514_at",160.915911280521,241.569868928762,9.02418513824425,8.0614274750734e-14,1.15760763838425e-10,-2.48672812728781,"ZNF71"
"1566956_at",-1156.09797218318,1679.40188783236,-9.02240791945039,8.12641374787119e-14,1.15760763838425e-10,-2.48716121087562,"OR7E104P"
"1553212_at",-307.737587361474,276.653817235001,-8.99388171794603,9.24424724240046e-14,1.22905348503462e-10,-2.49412392574762,"KRT78"
"222482_at",-644.150531906685,1157.3738444225,-8.84961291816034,1.77426437113366e-13,2.21150964709491e-10,-2.52966211361112,"SSBP3"
"212873_at",3314.4791288563,8172.58384296586,8.8068494117222,2.15259973589459e-13,2.5252527372321e-10,-2.54030026227949,"ARHGAP45"
"214730_s_at",1451.37530793324,4331.07078463923,8.77821173487353,2.45008693234362e-13,2.71456020509604e-10,-2.54745093173787,"GLG1"
"210892_s_at",364.053603634801,473.043955777301,8.72748902313809,3.08146420764095e-13,3.23440214173597e-10,-2.56016833548466,"GTF2I"
"1560897_a_at",-235.620695610973,275.15652055939,-8.45500129300328,1.05588497269002e-12,1.00848433012185e-09,-2.6296248496897,"KRTAP10-11"
"223921_s_at",263.519126731774,678.129914703003,8.4537367655999,1.06193506155337e-12,1.00848433012185e-09,-2.62995162180659,"GBA2"
"213043_s_at",236.269769320404,702.650413615181,8.44236926447813,1.11790174212629e-12,1.01337792923748e-09,-2.63289098273149,"MED24"
"220335_x_at",182.170790350848,237.251707731351,8.39856543852042,1.36253594355508e-12,1.13269803024121e-09,-2.64424843325575,"CES3"
"210565_at",-120.383317628163,86.1066623236084,-8.3984701562499,1.36312253551567e-12,1.13269803024121e-09,-2.64427319134293,"GCGR"
"1555868_at",-195.763477000845,175.336379241777,-8.33398062043437,1.82404490295789e-12,1.4135528187423e-09,-2.66108306391473,"LINC02941"
"227374_at",126.733336317769,162.088767609486,8.33170688118515,1.84287084627688e-12,1.4135528187423e-09,-2.6616776645765,"EARS2"
"224078_at",558.947640923108,957.257023775735,8.28439116678774,2.28181555985333e-12,1.68541658185759e-09,-2.67408078920073,"MFSD14CP"
"201591_s_at",992.182505611374,3249.08589142585,8.26059716487891,2.54056802404669e-12,1.80951957512725e-09,-2.68033941010245,"NISCH"
"232814_x_at",623.025207475931,877.225412368602,8.16042437749521,3.99253511173906e-12,2.74562509425559e-09,-2.70684428857793,"COA8"
"207278_s_at",-118.473863585107,84.8749059394074,-8.12119482453637,4.76530884332373e-12,3.1678184754135e-09,-2.71729248473351,"CD209"
"225758_s_at",184.525671238585,341.300020509052,8.08410364481519,5.63276785395086e-12,3.62368675197877e-09,-2.72720635058621,"TUBGCP6"
"202725_at",-585.891181581138,1023.6014114797,-8.06841997398664,6.04541416018872e-12,3.76761545614512e-09,-2.73140859605474,"POLR2A"
"215735_s_at",351.571056359239,769.91865137918,8.05180511016648,6.51551135612566e-12,3.911767592958e-09,-2.73586697618878,"TSC2"
"212137_at",1372.53762121449,4000.65616084301,8.04284732434066,6.78391921513687e-12,3.911767592958e-09,-2.73827350725244,"LARP1"
"211051_s_at",117.500436946472,208.660742727609,8.03432439273793,7.04953305867444e-12,3.911767592958e-09,-2.74056504997868,"EXTL3"
"208720_s_at",2426.94090516938,6454.64882142509,8.03395406980095,7.06130639053744e-12,3.911767592958e-09,-2.74066465849335,"RBM39"
"212396_s_at",240.007005574299,410.435802425552,7.98616769183665,8.75746723845348e-12,4.72027484152642e-09,-2.75354639706833,"EMC1"
"209913_x_at",162.733292452474,245.489247170567,7.96170027293357,9.77757151326097e-12,5.13142391286746e-09,-2.76016372394617,"AP5Z1"
"218579_s_at",120.784856562576,177.377957421467,7.90948600881402,1.23682145650806e-11,6.32459751465136e-09,-2.77433412158325,"DHX35"
"225535_s_at",-698.451161266322,2336.7564640945,-7.88362945077375,1.38941674370072e-11,6.92728452990586e-09,-2.78137581480969,"TIMM23"
"239762_at",173.50777201301,235.684527767874,7.86238987941837,1.52870748724962e-11,7.43585693127296e-09,-2.78717221727347,"LOC286437"
"202442_at",-2316.38627761938,5916.63417496997,-7.84514588085901,1.6519725324573e-11,7.74406052517256e-09,-2.79188619773182,"AP3S1"
"216971_s_at",483.687093611174,720.434221644094,7.84276783032961,1.66973174839503e-11,7.74406052517256e-09,-2.79253684476807,"PLEC"
"219070_s_at",-227.25010591206,617.610887688325,-7.82685873239303,1.79353778759313e-11,8.12921002226586e-09,-2.7968931483376,"MOSPD3"
"232524_x_at",611.066169077986,1779.98531980163,7.81340116737445,1.90538408552166e-11,8.44423884834631e-09,-2.80058289695591,"ANAPC4"
"226861_at",-392.736985186996,1475.99730407461,-7.77542909461535,2.25988625562107e-11,9.7975894773589e-09,-2.81101726865212,"ASB8"
