"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene symbol"
"186","ILMN_1653466",1.22855483752199,8.17806246048807,4.73046639741573,3.96574014862334e-06,0.000328219471751172,4.04862195143481,"HES4"
"536","ILMN_1657871",2.18112882018271,9.46268613974598,5.67937709519188,4.17323494031316e-08,1.42434808399541e-05,8.29679364996453,"RSAD2"
"882","ILMN_1662358",1.11243185560287,12.4670792706398,4.73698156061366,3.85167132685336e-06,0.000322320695535512,4.07569485248588,"MX1"
"949","ILMN_1663347",2.71667380087446,4.94873321442969,4.8809738285582,2.00548784736484e-06,0.000205501111869772,4.6817010994992,"OTOF"
"1038","ILMN_1664543",1.36632354891492,8.3025087566159,4.25565308239432,3.0653527457452e-05,0.00147991693619103,2.15861688037589,"IFIT3"
"1246","ILMN_1667444",-1.07037607491036,2.90981471569929,-5.76181423369186,2.73307507984019e-08,1.11265702507116e-05,8.69348022047473,""
"1456","ILMN_1670305",1.47155683690131,7.21397403990029,5.4871184348944,1.10148214093835e-07,2.63359134745308e-05,7.38816658344441,"SERPING1"
"1775","ILMN_1674811",1.1220405024714,9.05535456655063,4.88277560857379,1.98899524490909e-06,0.000205207091603189,4.68937636960979,"OASL"
"1827","ILMN_1675640",1.14971837432865,8.55966946038087,4.40234397534975,1.6583323224106e-05,0.000979586657743953,2.72479534629552,"OAS1"
"2213","ILMN_1680757",-1.03422531970782,4.28920549401396,-4.99319059208984,1.1940066553935e-06,0.000149877685418269,5.16402893210623,""
"2414","ILMN_1683678",1.49260042924836,6.35552807259837,5.30770535080568,2.66708021687268e-07,4.67142201241315e-05,6.56159422861746,"SPATS2L"
"2855","ILMN_1690241",1.33678570636848,6.19552842663712,5.3939891863765,1.74769918750642e-07,3.65503119666973e-05,6.95650261715501,"BATF2"
"2866","ILMN_1690365",1.45453235038918,3.00159006388459,4.90518171067714,1.79454685647988e-06,0.000194089053335439,4.78501162817662,""
"3142","ILMN_1694127",-1.22189505856931,4.44638440047906,-5.6803256630871,4.15305925817178e-08,1.42434808399541e-05,8.3013342110242,""
"3226","ILMN_1695404",1.47224461986569,10.8747234220611,5.61020536770655,5.93325235984892e-08,1.75240353522361e-05,7.96719951707616,"LY6E"
"3595","ILMN_1700671",1.07993267930007,3.66255395342304,4.60101939904089,7.03806447711901e-06,0.000504830310565922,3.51702298850341,"ETV7"
"3625","ILMN_1701114",1.08789376268667,9.79431700800528,7.02007959257134,2.6163567976181e-11,1.31367274808405e-07,15.2339526955684,"GBP1"
"3674","ILMN_1701789",1.28318089410427,11.3715996507553,5.51041081471744,9.80515648119368e-08,2.42123068977411e-05,7.49700090197474,"IFIT3"
"4079","ILMN_1707695",1.4782708420668,10.5942383973868,4.96325648541481,1.37230489921628e-06,0.000166701844329797,5.03451429311834,"IFIT1"
"4510","ILMN_1714402",1.18416195322427,3.63047623216405,4.88370945959173,1.98049891898206e-06,0.000205207091603189,4.69335530459307,"ZCCHC2"
"4567","ILMN_1715332",1.04326542403724,4.91211541806675,5.70087290552688,3.73867340382497e-08,1.40789093704539e-05,8.39982601476301,"TTC21A"
"4864","ILMN_1720048",1.210605850732,3.30919208615054,4.33684033995518,2.18605949388568e-05,0.00118311822505704,2.46998286541199,"CCL2"
"5087","ILMN_1723912",2.17553959730325,10.2479953863994,5.61484910468586,5.7952795286128e-08,1.75240353522361e-05,7.98923246477812,"IFI44L"
"5191","ILMN_1725320",1.11525307992598,2.83516900005911,4.28629755375279,2.69967470427765e-05,0.00136004013613827,2.27556102789672,"SIGLEC1"
"5275","ILMN_1726589",-1.46278276866642,4.23892233774111,-5.45561093932626,1.28848385872576e-07,2.94067157030092e-05,7.24150019188711,"CD248"
"5914","ILMN_1736729",1.09039891172664,7.82708662186255,4.59928395603719,7.09182536746837e-06,0.000506275665925005,3.50997804300273,"OAS2"
