"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","GeneSymbol"
"211475_s_at",-2.4764185932275,10.1537075752193,-28.7687877122352,2.94111639443914e-58,1.6080553886596e-53,121.650902994114,"TRUE","BAG1"
"202387_at",-2.34959592042958,9.66879603941232,-25.4821750308701,1.98437431511975e-52,5.42478328395862e-48,108.561300074003,"TRUE","BAG1"
"200075_s_at",-1.96292200333058,10.4485950908178,-25.1841913696336,7.09906811035466e-52,1.29380516311214e-47,107.314276190316,"TRUE","GUK1"
"216549_s_at",-2.7247389341498,4.31619217063114,-24.7486256677085,4.65823844787878e-51,6.3672296784443e-47,105.472670633171,"TRUE","TBC1D22B"
"231689_at",-1.50554658797154,7.58685667740413,-23.5962519125911,7.51043153935722e-49,8.21265688828712e-45,100.490533273953,"TRUE","TRPM7"
"1554481_a_at",-2.68567346873322,9.04851641017516,-23.2800733593525,3.1130181019242e-48,2.78365947199434e-44,99.0952123562083,"TRUE","EPB41"
"202129_s_at",-2.53920362618129,9.45525365573215,-23.2501330345072,3.56389872957666e-48,2.78365947199434e-44,98.9624419139172,"TRUE","RIOK3"
"239458_at",-2.13209279926906,5.95832677465506,-23.0309002828045,9.62692264343877e-48,6.57939994412518e-44,97.9868567300284,"TRUE","FLACC1"
"223039_at",-1.17270163592994,11.3141034726502,-22.9489163487932,1.39803580452974e-47,8.49306751251818e-44,97.6204886663616,"TRUE","GUCD1"
"220757_s_at",-2.31817168802592,7.56931502641393,-22.7524745575682,3.42920900087352e-47,1.8749200212276e-43,96.7392101428624,"TRUE","UBXN6"
"223323_x_at",-1.63346259688966,7.48752083453751,-22.7212319632411,3.95690710375139e-47,1.96676268997825e-43,96.5986030760972,"TRUE","TRPM7"
"223012_at",-1.82972392240566,9.82397775956717,-22.2510701183037,3.45973454400707e-46,1.45508450918144e-42,94.4677759556287,"TRUE","UBXN6"
"213621_s_at",-2.18069979518246,9.07284683958645,-22.2049980011101,4.2850075228743e-46,1.67344847366537e-42,94.2574661317924,"TRUE","GUK1"
