description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Striated Muscle Contraction	R-HSA-390522	27	2208	36	10987	1.8649976494148397e-12	3.9743099909030234e-09	3.731997282608696	0	MYBPC1, DES, MYL1, ACTA1, DMD, TNNI1, TNNI2, VIM, NEB, TNNC1, TCAP, TPM2, TNNC2, ACTC1, TTN, MYBPC3, MYBPC2, ACTN3, MYH8, TMOD4, TPM3, MYL3, TMOD1, MYL2, TNNT3, ACTN2, TNNT1
Metabolism of RNA	R-HSA-8953854	210	2208	721	10987	1.3072203120103108e-09	1.3928432424469863e-06	1.4493193330519207	0	APOBEC3C, ANP32A, PSMD14, RBM17, CDK7, RPL14, CSTF3, PSME1, RPS27A, GCFC2, EXOSC10, POLR2G, PSMB3, RPL22, RPL18A, RPS3, ZFP36, PSMC5, UTP6, RPP14, PNPT1, ISG20L2, WBP4, TNKS1BP1, FAU, PSMD10, POLR2J, XPO1, WDR12, EIF4A2, WDR43, RBM8A, EIF4B, GTF2H1, LRPPRC, UPF3B, APOBEC2, TRMT12, ETF1, PUF60, HTATSF1, RPS9, UBC, WDR70, POLR2B, TRMT61B, POLR2K, HNRNPH1, YWHAB, GEMIN4, EXOSC6, PHF5A, WBP11, HNRNPR, PRPF19, PLRG1, SNU13, WDR4, PHAX, NUP37, PTBP1, LSM10, CCDC12, RPS4Y1, FUS, RPL8, SNRPA, RPL36, RAE1, FIP1L1, RPS16, RPL5, RPL28, SUPT5H, PQBP1, PSMA5, CNOT8, UBB, RPL3L, PSMC6, PUS7, PSMA4, RPL17, RBMX2, SARNP, CLP1, SMN2, IGF2BP3, PSMD3, WDR75, RPP38, UTP3, ZC3H11A, YJU2, WDR77, PSMD4, MAPK14, NUDT21, PSMB4, DDX1, HSPA1A, PWP2, RPL13, CPSF2, FASTKD2, DHX15, HNRNPC, POLDIP3, PRPF8, SKIC8, PNN, PATL1, RPL27A, PRKCA, TRA2B, RPS3A, SNRPD2, RRP9, RPL29, ZBTB8OS, CNOT10, PSMC1, LSM11, TFIP11, DDX23, SF3B6, BUD13, LSM3, POM121, RCL1, SNW1, RPS28, NUP43, RPL9, FYTTD1, YWHAZ, TYW3, RAN, GEMIN6, RBM39, SRRM1, BYSL, RPL36A, SMG7, NOC4L, FTSJ3, NUP62, REXO2, PDCD7, RPL7A, DUS2, PSMA6, CWC15, RPL11, PSMC3, C1D, SRSF11, EIF4G1, SNRNP48, DNAJC8, PSMA7, ERCC3, MPHOSPH10, HNRNPA1, MTREX, CTU1, RBM25, RBM22, RRP7A, MRM3, PPIH, THG1L, NUP214, LSM5, PCBP2, HNRNPU, PPIE, NUP133, POLR2C, FTSJ1, CCAR1, RBM42, RPS4Y2, PAIP1, UPF3A, TRMU, SRSF8, SRRM2, RPS8, SLU7, GEMIN2, UTP11, XRN2, SMG5, GRSF1, CCNH, RPL21, NUP155, POP4, RPLP0, ALYREF, PSMD6, RPL10L, CNOT2, PPP2R2A, C2orf49, SENP3, SRSF4, U2AF1, GNL3
Translation	R-HSA-72766	96	2208	291	10987	1.1334250096065839e-07	8.0510956515721e-05	1.6415658150306291	0	TRAM1, RPL14, NARS1, RPS27A, DARS2, EIF3F, RPL22, RPL18A, RPS3, WARS1, FAU, MRPL47, EIF4A2, MRPS31, TSFM, EIF4B, ETF1, MRPS28, RPS9, EIF2S1, MRPL17, SSR2, MRPL38, IARS2, RPS4Y1, MRPS11, YARS1, MRPL40, RPL8, MRPL22, LARS1, RPL36, RPS16, RPL5, EIF4EBP1, RPL28, GFM2, RPL3L, MRPL42, RPL17, SSR4, MRPL33, MRPL9, AARS1, PTCD3, CARS1, MRPL1, MRPL10, SRP19, MRPL14, RPL13, MRPL3, MRPL20, RPL27A, RPS3A, EIF3M, MTIF2, RPL29, MRPL13, MRPL12, IARS1, MRPL24, QARS1, MRPS18B, RPS28, TARS1, MRPS10, RPL9, MTRF1L, DAP3, MRPL35, EIF2B5, MRPS35, RPL36A, EEF1A2, PARS2, RPL7A, RPL11, MRPL36, MRPL19, MRPS26, EIF4G1, MRPL2, SRP68, SPCS1, MTFMT, RPS4Y2, SARS1, EEF1D, RPS8, TUFM, AURKAIP1, RPL21, RPLP0, RPL10L, GADD45GIP1
Aerobic respiration and respiratory electron transport	R-HSA-1428517	82	2208	248	10987	8.531538398001475e-07	0.00045451770815352864	1.6452891245909302	0	NDUFAF3, RPS27A, NDUFA5, NNT, NDUFB9, SLC25A18, COX6A2, NDUFA4, NDUFS3, RMND5A, SIRT4, NDUFS1, SCO1, UQCRH, TACO1, COX7A1, NDUFB10, UBC, TMEM223, DLD, NFS1, DLST, PDHX, PDP1, NDUFB6, ATP5F1E, NDUFA13, ETFDH, ISCA1, NDUFAF1, IDH3G, COX6A1, COA3, UBB, HSCB, LYRM2, ISCA2, ATP5MK, ETFA, ATP5F1D, ACAT1, MKLN1, PDHA2, UCP2, COX17, COX8A, PKLR, LDHB, UQCRFS1, ATP5MC1, NDUFV2, ATP5F1A, HIGD2A, ATP5F1B, IDH3A, LYRM4, NDUFS2, SDHAF2, NDUFC1, ATP5PD, GPT, UQCC3, PDHA1, HCCS, PET117, ATP5MG, COX15, UQCC1, ATP5PO, ECSIT, MDH1, SUCLA2, COX11, UCP3, HIGD1A, IDH3B, COX14, OGDH, SDHA, COX4I1, UQCRC2, NDUFB7
Infectious disease	R-HSA-5663205	262	2208	1019	10987	2.8952576073855958e-06	0.0012339587922677408	1.279402405029085	0	MED4, DYNC1LI2, PSMD14, TRIM4, CDK7, MED12, SUGT1, RPL14, TAF7, P2RX7, CCNK, PSME1, RCC1, PTPN6, RPS27A, VPS37D, POLR2G, VPS39, PSMB3, RPL22, HMGA1, RPL18A, MAVS, RPS3, PSMC5, SUDS3, FCGR2A, HSP90AB1, MED9, FAU, PSMD10, ATP6V1H, POLR2J, XPO1, CUL5, DVL2, H3C11, TBL1XR1, H2BC15, MED15, MED24, H2BC7, EDEM2, GTF2H1, SDC4, GPC4, GTF2A1, NLRP3, IGF1R, CNBP, PPP1CB, LY96, TAF13, KPNA1, SEC24C, NT5E, AP1S2, H2BC9, RPS9, UBC, POLR2B, UBAP1, POLR2K, YWHAB, KEAP1, ADCY6, GEMIN4, ITGB1, ST6GAL1, PGK1, CRBN, CYSLTR1, SSRP1, ADCY2, FKBP4, YWHAQ, MED14, NUP37, GNAI2, CRK, RPS4Y1, PACS1, HSP90AA1, MED1, H2BC18, ST6GALNAC2, RPL8, IL1R1, SAR1B, NOD1, STAT1, RAB7A, RPL36, DYNC1I2, RAE1, RPS16, RPL5, ANO7, RPL28, SUPT5H, PSMA5, UBB, RPL3L, PSMC6, H2BC14, PSMA4, RPL17, KDM1A, CHURC1-FNTB, ATG14, BANF1, SMN2, PSMD3, STX1B, PTK2, SDC3, ARPC2, SEC24D, PSMD4, MAPK14, CX3CR1, PSMB4, GNG10, HSPA1A, MED23, CHUK, RPL13, PKLR, ARPC1A, NPM1, SIKE1, CSNK1A1, ACE2, TGFB1, ATP1A2, RPL27A, WIPF1, SUMO1, CD4, TXNRD1, RPS3A, SNRPD2, G3BP1, VAV2, VAMP1, TMPRSS2, RPL29, GNG7, GNAS, TLR7, H4C5, ARPC1B, MAP2K2, TSG101, ABI1, PSMC1, IKBKE, RB1, AP2S1, CD8B, FNTA, PRKAR2A, AP1S3, YES1, IMPDH2, POM121, PPIB, RPS28, NUP43, RPL9, ANO2, MYO5A, YWHAZ, RAN, GEMIN6, VPS25, ENTPD1, BLNK, TAB3, ACTB, RPL36A, NOXO1, RIPK2, NCKAP1L, ZDHHC3, NUP62, SV2A, IPO5, TAF5, SLC25A6, TXNIP, MEFV, GTF2B, TOMM70, PTGES3, PDPK1, RPL7A, OAS2, MED29, PSMA6, VPS37B, RPL11, PSMC3, BRD4, VPS4A, PSMA7, CD79A, CDC42, H4C15, ERCC3, CORO1A, HNRNPA1, NCK1, FXYD1, PPIH, SNF8, NUP214, GTF2A2, MYH2, ZDHHC11, IFIH1, SPCS1, PCBP2, NUP133, SIGMAR1, CD3G, POLR2C, DVL1, RPS4Y2, TRIM28, CYSLTR2, WASF2, CDK8, CBLL1, C3AR1, RPS8, MED17, TUFM, GPC2, GEMIN2, MGAT1, RIPK3, MBL2, GRSF1, APOBEC3G, CCNH, RPL21, SH3KBP1, NUP155, VPS41, RPLP0, MGAT4A, H4C2, FKBP1A, PSMD6, RPL10L, KPNA4, SFPQ, ST6GALNAC4, TAF2, TLR3, CBL
Neddylation	R-HSA-8951664	78	2208	244	10987	6.605204855939111e-06	0.002345948591334374	1.5906873663578045	0	PSMD14, COPS2, COPS5, PSME1, COMMD6, RPS27A, KLHL21, GAN, SOCS5, PSMB3, ASB7, PSMC5, SOCS6, PSMD10, CUL5, UBE2F, COPS6, BRCA1, KBTBD8, KLHL13, ASB4, UBC, FBXO11, KEAP1, KBTBD13, FBXO9, SQSTM1, RBBP5, PSMA5, UBB, PSMC6, FBXO21, KLHL25, PSMA4, FBXL4, AMER1, CUL9, PSMD3, COMMD8, FBXO32, ASB14, DCUN1D5, UBE2M, PSMD4, PSMB4, FBXO2, CUL4A, UCHL3, UBE2D1, MUL1, PSMC1, FBXW4, KLHL41, COMMD10, FBXO40, ASB11, TULP4, KLHL9, NEURL2, DCUN1D2, KBTBD6, UBD, PSMA6, PSMC3, DCAF8, FBXL3, PSMA7, UBE2D3, FBXL19, DDB1, ASB15, ASB16, ASB5, FBXO17, FEM1A, PSMD6, ASB18, WDR5
Mitochondrial translation	R-HSA-5368287	37	2208	93	10987	9.681776207297206e-06	0.0029474092996786207	1.9796974832476235	0	MRPL47, MRPS31, TSFM, MRPS28, MRPL17, MRPL38, MRPS11, MRPL40, MRPL22, GFM2, MRPL42, MRPL33, MRPL9, PTCD3, MRPL1, MRPL10, MRPL14, MRPL3, MRPL20, MTIF2, MRPL13, MRPL12, MRPL24, MRPS18B, MRPS10, MTRF1L, DAP3, MRPL35, MRPS35, MRPL36, MRPL19, MRPS26, MRPL2, MTFMT, TUFM, AURKAIP1, GADD45GIP1
Viral Infection Pathways	R-HSA-9824446	215	2208	827	10987	1.1251492476992622e-05	0.00299711630855891	1.293638719485481	0	MED4, DYNC1LI2, PSMD14, TRIM4, CDK7, MED12, RPL14, TAF7, CCNK, PSME1, RCC1, PTPN6, RPS27A, VPS37D, POLR2G, VPS39, PSMB3, RPL22, HMGA1, RPL18A, MAVS, RPS3, PSMC5, SUDS3, HSP90AB1, MED9, FAU, PSMD10, ATP6V1H, POLR2J, XPO1, CUL5, H3C11, TBL1XR1, H2BC15, MED15, MED24, H2BC7, EDEM2, GTF2H1, SDC4, GPC4, GTF2A1, NLRP3, IGF1R, CNBP, PPP1CB, LY96, TAF13, KPNA1, SEC24C, AP1S2, H2BC9, RPS9, UBC, POLR2B, UBAP1, POLR2K, YWHAB, KEAP1, GEMIN4, ITGB1, ST6GAL1, CRBN, CYSLTR1, SSRP1, FKBP4, YWHAQ, MED14, NUP37, RPS4Y1, PACS1, HSP90AA1, MED1, H2BC18, ST6GALNAC2, RPL8, IL1R1, SAR1B, NOD1, STAT1, RPL36, DYNC1I2, RAE1, RPS16, RPL5, ANO7, RPL28, SUPT5H, PSMA5, UBB, RPL3L, PSMC6, H2BC14, PSMA4, RPL17, KDM1A, CHURC1-FNTB, ATG14, BANF1, SMN2, PSMD3, SDC3, SEC24D, PSMD4, CX3CR1, PSMB4, HSPA1A, MED23, CHUK, RPL13, PKLR, NPM1, SIKE1, CSNK1A1, ACE2, TGFB1, ATP1A2, RPL27A, SUMO1, CD4, RPS3A, SNRPD2, G3BP1, TMPRSS2, RPL29, TLR7, H4C5, TSG101, PSMC1, IKBKE, RB1, AP2S1, CD8B, FNTA, AP1S3, IMPDH2, POM121, PPIB, RPS28, NUP43, RPL9, ANO2, YWHAZ, RAN, GEMIN6, VPS25, BLNK, TAB3, RPL36A, RIPK2, ZDHHC3, NUP62, IPO5, TAF5, SLC25A6, GTF2B, TOMM70, PTGES3, PDPK1, RPL7A, OAS2, MED29, PSMA6, VPS37B, RPL11, PSMC3, BRD4, VPS4A, PSMA7, CD79A, H4C15, ERCC3, HNRNPA1, NCK1, FXYD1, PPIH, SNF8, NUP214, GTF2A2, ZDHHC11, IFIH1, SPCS1, PCBP2, NUP133, SIGMAR1, POLR2C, RPS4Y2, TRIM28, CDK8, RPS8, MED17, TUFM, GPC2, GEMIN2, MGAT1, RIPK3, MBL2, GRSF1, APOBEC3G, CCNH, RPL21, SH3KBP1, NUP155, VPS41, RPLP0, MGAT4A, H4C2, FKBP1A, PSMD6, RPL10L, KPNA4, ST6GALNAC4, TAF2, TLR3
PD-1 signaling	R-HSA-389948	14	2208	23	10987	2.1773270808320928e-05	0.005155426676947989	3.0288673597983617	0	PTPN6, HLA-DRB1, CD274, HLA-DRA, CD3D, HLA-DPB1, CD4, CD3E, HLA-DRB3, HLA-DPA1, HLA-DQA2, CD3G, HLA-DQB2, PDCD1LG2
Muscle contraction	R-HSA-397014	64	2208	205	10987	9.516549721686859e-05	0.009028908048014761	1.553481795687522	0	KCNK5, MYL11, MYBPC1, DES, SRI, GATA4, KCNA5, CAV3, SORBS1, MYL1, ORAI2, ACTA1, DMD, TNNI1, TNNI2, GUCY1B1, CASQ2, VIM, NEB, TNNC1, KCNJ4, MYL5, KCNK7, SLN, RYR3, TCAP, ANXA1, TPM2, TRIM72, TNNC2, ATP1A2, ACTC1, TTN, MYBPC3, MYBPC2, ACTN3, CASQ1, SCN7A, MYH8, TMOD4, MYL6B, KAT2B, FGF13, SCN1B, KCNJ14, TRDN, ATP2A2, KCNIP3, TPM3, MYL3, TMOD1, FXYD1, RYR1, MYL2, ATP2A1, RANGRF, KCNJ12, NKX2-5, TNNT3, CACNG6, PLN, ATP2A3, ACTN2, TNNT1
