ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
210606_x_at	0.123	0.00000552	5.537207	3.5008	0.8238604	KLRD1	killer cell lectin like receptor D1
220603_s_at	0.147	0.00002504	4.995596	2.2796	0.7800512	MCTP2	multiple C2 and transmembrane domain containing 2
207795_s_at	0.147	0.00002657	4.974383	2.2315	0.817101	KLRD1	killer cell lectin like receptor D1
206108_s_at	0.147	0.0000315	4.913423	2.0929	1.5603166	SRSF6	serine and arginine rich splicing factor 6
222071_s_at	0.147	0.00003552	4.87035	1.9949	0.9666344	SLCO4C1	solute carrier organic anion transporter family member 4C1
203087_s_at	0.147	0.00003955	4.83187	1.9074	0.6371213	KIF2A	kinesin family member 2A
215490_at	0.179	0.00007951	-4.581159	1.3363	-0.345989	IBA57	IBA57 homolog, iron-sulfur cluster assembly
218062_x_at	0.179	0.00008591	-4.553292	1.2729	-0.4498211	CDC42EP4	CDC42 effector protein 4
209994_s_at	0.179	0.00012466	4.419098	0.9674	0.8735737	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1
204160_s_at	0.179	0.00013057	4.402365	0.9294	0.927494	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
209447_at	0.179	0.0001335	4.394347	0.9111	0.5783731	SYNE1	spectrin repeat containing nuclear envelope protein 1
207072_at	0.179	0.00013881	4.380237	0.8791	0.825795	IL18RAP	interleukin 18 receptor accessory protein
215991_s_at	0.179	0.0001411	4.374323	0.8656	0.3532752	EMC1	ER membrane protein complex subunit 1
214620_x_at	0.179	0.0001427	4.370266	0.8564	0.381459	PAM	peptidylglycine alpha-amidating monooxygenase
213849_s_at	0.179	0.00015543	4.33933	0.7861	0.7038748	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta
219304_s_at	0.179	0.00016151	4.325441	0.7546	0.9485219	PDGFD	platelet derived growth factor D
205821_at	0.179	0.00017496	4.296471	0.6888	0.7205747	KLRC4-KLRK1///KLRK1	KLRC4-KLRK1 readthrough///killer cell lectin like receptor K1
203908_at	0.179	0.00017741	4.291437	0.6774	0.5884915	SLC4A4	solute carrier family 4 member 4
201935_s_at	0.179	0.00018458	4.277068	0.6448	0.5869752	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
207796_x_at	0.179	0.00019148	4.263745	0.6146	0.5829471	KLRD1	killer cell lectin like receptor D1
203017_s_at	0.179	0.00019288	4.261098	0.6086	0.5135633	SSX2IP	SSX family member 2 interacting protein
221005_s_at	0.179	0.00019518	-4.256805	0.5988	-0.4012902	PTDSS2	phosphatidylserine synthase 2
206233_at	0.179	0.00019666	4.254056	0.5926	0.4076533	B4GALT6	beta-1,4-galactosyltransferase 6
212412_at	0.179	0.00020614	4.236964	0.5539	0.7569297	PDLIM5	PDZ and LIM domain 5
204731_at	0.179	0.00020904	4.231897	0.5424	0.8671819	TGFBR3	transforming growth factor beta receptor 3
212692_s_at	0.179	0.00022285	4.208638	0.4897	0.3765206	LRBA	LPS responsive beige-like anchor protein
211985_s_at	0.179	0.00023344	4.191752	0.4515	0.5907388	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
200854_at	0.179	0.00023671	4.186697	0.4401	0.6107806	NCOR1	nuclear receptor corepressor 1
209886_s_at	0.179	0.00023696	-4.186308	0.4392	-0.4294685	SMAD6	SMAD family member 6
204048_s_at	0.179	0.00024871	4.168694	0.3993	0.5250315	PHACTR2	phosphatase and actin regulator 2
209993_at	0.179	0.00025072	4.165764	0.3927	0.9450469	ABCB1	ATP binding cassette subfamily B member 1
208010_s_at	0.179	0.00026147	4.150468	0.3581	0.9123111	PTPN22	protein tyrosine phosphatase, non-receptor type 22
208284_x_at	0.179	0.00026904	-4.140064	0.3346	-0.4708809	GGT2///GGTLC1///GGTLC2///GGT1	gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1
217103_at	0.179	0.00029476	-4.106748	0.2594	-0.2240034	LDLR	low density lipoprotein receptor
211548_s_at	0.179	0.00030098	4.099121	0.2422	0.9046418	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
202664_at	0.179	0.00032237	4.074036	0.1856	0.6696508	WIPF1	WAS/WASL interacting protein family member 1
221752_at	0.179	0.00032752	4.068234	0.1725	0.4067659	SSH1	slingshot protein phosphatase 1
203836_s_at	0.179	0.00033101	4.064361	0.1638	0.3872644	MAP3K5	mitogen-activated protein kinase kinase kinase 5
202814_s_at	0.179	0.00033516	4.059804	0.1536	0.6142199	HEXIM1	hexamethylene bisacetamide inducible 1
217545_at	0.179	0.00034213	-4.052264	0.1366	-0.4428059	MYH14	myosin, heavy chain 14, non-muscle
203016_s_at	0.179	0.00034401	4.050266	0.1321	0.4773195	SSX2IP	SSX family member 2 interacting protein
208445_s_at	0.179	0.00035521	4.038528	0.1056	0.5764505	BAZ1B	bromodomain adjacent to zinc finger domain 1B
208110_x_at	0.179	0.00035801	-4.035653	0.0992	-0.5096782	MED25	mediator complex subunit 25
204029_at	0.179	0.00036729	-4.026278	0.0781	-0.3108249	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2
202815_s_at	0.179	0.00037305	4.020577	0.0653	0.5131434	HEXIM1	hexamethylene bisacetamide inducible 1
201510_at	0.179	0.00037307	-4.020553	0.0652	-0.3073562	ELF3	E74 like ETS transcription factor 3
217622_at	0.179	0.00038449	-4.009498	0.0404	-0.2963963	RHBDD3	rhomboid domain containing 3
210524_x_at	0.179	0.00038498	-4.009031	0.0393	-0.3501006		
212979_s_at	0.179	0.00039289	4.001574	0.0225	0.4555691	LOC100294033///TCAF1	protein FAM115A-like///TRPM8 channel associated factor 1
221472_at	0.181	0.00041045	3.98552	-0.0135	0.4079857	SERINC3	serine incorporator 3
214988_s_at	0.181	0.00041452	3.9819	-0.0216	0.655506	SON	SON DNA binding protein
209198_s_at	0.189	0.00044214	3.958191	-0.0748	0.5650511	SYT11	synaptotagmin 11
204226_at	0.193	0.00046091	3.942898	-0.1091	0.6944413	STAU2	staufen double-stranded RNA binding protein 2
