GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3514	1.53e-10	1.17e-14	0.7333	-7.7191572	-5.6602391	2285.48	IGKC	immunoglobulin kappa constant
3505	4.62e-06	7.07e-10	1.291	-6.1645191	-7.9584122	510.03	IGHGP	immunoglobulin heavy constant gamma P (non-functional)
3500	7.30e-06	1.68e-09	1.0727	-6.0265422	-6.4646367	4088.27	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)
3538	1.22e-05	3.73e-09	1.1702	-5.8957424	-6.8991129	693.76	IGLC2	immunoglobulin lambda constant 2
3539	1.08e-04	4.12e-08	1.1886	-5.4856066	-6.5202925	402.12	IGLC3	immunoglobulin lambda constant 3 (Kern-Oz+ marker)
3501	1.15e-04	5.29e-08	1.2249	-5.4414087	-6.6651556	814.31	IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker)
100462981	1.79e-03	1.10e-06	0.6625	4.8736938	3.2290138	162.14	MTRNR2L2	MT-RNR2 like 2 (pseudogene)
2289	1.79e-03	9.62e-07	0.2745	4.8991915	1.3448801	4695.78	FKBP5	FKBP prolyl isomerase 5
8714	9.55e-03	6.57e-06	0.456	-4.5071163	-2.0550259	291.18	ABCC3	ATP binding cassette subfamily C member 3
80820	9.73e-03	8.49e-06	0.2953	-4.4525389	-1.3150023	373.9	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1
57817	9.73e-03	7.53e-06	0.4023	4.4781735	1.8015706	1568.48	HAMP	hepcidin antimicrobial peptide
973	9.73e-03	8.92e-06	1.1758	-4.4417074	-5.2224652	113.96	CD79A	CD79a molecule
3274	1.43e-02	1.42e-05	0.2942	4.3401708	1.2768833	965.81	HRH2	histamine receptor H2
101927931	1.65e-02	1.76e-05	0.2238	4.2930549	0.9609147	496.43	LINC01480	long intergenic non-protein coding RNA 1480
254531	1.66e-02	1.90e-05	0.1712	4.2764771	0.7322946	672.92	LPCAT4	lysophosphatidylcholine acyltransferase 4
9289	2.83e-02	3.47e-05	0.271	4.1402861	1.1219916	9586.9	ADGRG1	adhesion G protein-coupled receptor G1
51523	4.45e-02	5.79e-05	0.2535	-4.0213166	-1.0194715	428.83	CXXC5	CXXC finger protein 5
5468	4.98e-02	7.26e-05	0.2834	-3.9674844	-1.1244225	421.4	PPARG	peroxisome proliferator activated receptor gamma
4023	4.98e-02	8.00e-05	0.4746	-3.9444126	-1.8719321	1937.31	LPL	lipoprotein lipase
